# Names, Chest, Core, Quads, Hamstrings, Calfs, Glutes, Lats, Traps, Front Delts, Rear Delts, Triceps, Biceps
Barbell Flat Bench Presses, 0.6, 0, 0, 0, 0, 0, 0, 0, 0.2, 0, 0.2, 0
Crunches, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Barbell Squats, 0, 0, 0.4, 0.3, 0.1, 0.2, 0, 0, 0, 0, 0, 0
Romanian Deadlift, 0, 0, 0, 0.4, 0.1, 0.5, 0, 0, 0, 0, 0, 0
Standing Calf Raises, 0, 0, 0, 0, 0.8, 0.2, 0, 0, 0, 0, 0, 0
Seated Calf Raises, 0, 0, 0, 0, 0.9, 0.1, 0, 0, 0, 0, 0, 0
Pull-Ups, 0, 0, 0, 0, 0, 0, 0.4, 0.2, 0, 0.3, 0, 0.1
Lat Pulldown, 0, 0, 0, 0, 0, 0, 0.5, 0.0, 0, 0.3, 0, 0.2
Lateral Raises, 0, 0, 0, 0, 0, 0, 0, 0.3, 0.4, 0.3, 0, 0
Barbell Curl, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, 0.6
Skull Crushers, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, 0.2
Dumbbell Press, 0.5, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0.2, 0
Incline Dumbbell Press, 0.6, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0.1, 0
Cable Chest Flyes, 0.7, 0, 0, 0, 0, 0, 0, 0, 0.2, 0, 0.1, 0
Leg Press, 0, 0, 0.5, 0.3, 0.1, 0.1, 0, 0, 0, 0, 0, 0
Deadlift, 0, 0, 0.2, 0.3, 0.1, 0.3, 0.1, 0, 0, 0, 0, 0
Cable Rows, 0, 0, 0, 0, 0, 0, 0.4, 0.1, 0, 0.4, 0, 0.1
Shoulder Press, 0.3, 0, 0, 0, 0, 0, 0, 0.2, 0.4, 0.1, 0, 0
Face Pulls, 0, 0, 0, 0, 0, 0, 0.3, 0.2, 0.3, 0.2, 0, 0
Hammer Curls, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, 0.6
Tricep Dips, 0.2, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0.7, 0
Goblet Squats, 0, 0, 0.4, 0.3, 0.1, 0.2, 0, 0, 0, 0, 0, 0
Push-Ups, 0.5, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0.2, 0
Lunges, 0, 0, 0.4, 0.3, 0.1, 0.2, 0, 0, 0, 0, 0, 0
Barbell Bent Over Row, 0, 0, 0, 0, 0, 0, 0.4, 0.1, 0, 0.4, 0, 0.1
Dumbbell Shoulder Press, 0.3, 0, 0, 0, 0, 0, 0, 0.2, 0.5, 0, 0, 0
Russian Twists, 0, 0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4
Calf Raises, 0, 0, 0, 0, 0.6, 0, 0, 0, 0, 0, 0, 0.4
Chest Press Machine, 0.6, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0.1, 0
Plank, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5
Leg Curls, 0, 0, 0.3, 0.5, 0.1, 0.1, 0, 0, 0, 0, 0, 0
Chest Fly, 0.7, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0